director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,comb
Bryan Singer,Action Adventure Sci-Fi,Kevin Spacey,Marlon Brando,Frank Langella,superman returns,Kevin Spacey Marlon Brando Frank Langella Bryan Singer Action Adventure Sci-Fi
Marc Forster,Action Adventure,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,quantum of solace,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster Action Adventure
Gore Verbinski,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport,pirates of the caribbean: dead man's chest,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
Gore Verbinski,Action Adventure Western,Johnny Depp,Ruth Wilson,Tom Wilkinson,the lone ranger,Johnny Depp Ruth Wilson Tom Wilkinson Gore Verbinski Action Adventure Western
Zack Snyder,Action Adventure Fantasy Sci-Fi,Henry Cavill,Christopher Meloni,Harry Lennix,man of steel,Henry Cavill Christopher Meloni Harry Lennix Zack Snyder Action Adventure Fantasy Sci-Fi
Andrew Adamson,Action Adventure Family Fantasy,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,the chronicles of narnia: prince caspian,Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson Action Adventure Family Fantasy
Joss Whedon,Action Adventure Sci-Fi,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,the avengers,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-Fi
Rob Marshall,Action Adventure Fantasy,Johnny Depp,Sam Claflin,Stephen Graham,pirates of the caribbean: on stranger tides,Johnny Depp Sam Claflin Stephen Graham Rob Marshall Action Adventure Fantasy
Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,men in black 3,Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld Action Adventure Comedy Family Fantasy Sci-Fi
Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,the hobbit: the battle of the five armies,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
Marc Webb,Action Adventure Fantasy,Emma Stone,Andrew Garfield,Chris Zylka,the amazing spider-man,Emma Stone Andrew Garfield Chris Zylka Marc Webb Action Adventure Fantasy
Ridley Scott,Action Adventure Drama History,Mark Addy,William Hurt,Scott Grimes,robin hood,Mark Addy William Hurt Scott Grimes Ridley Scott Action Adventure Drama History
Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,the hobbit: the desolation of smaug,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
Chris Weitz,Adventure Family Fantasy,Christopher Lee,Eva Green,Kristin Scott Thomas,the golden compass,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz Adventure Family Fantasy
Peter Jackson,Action Adventure Drama Romance,Naomi Watts,Thomas Kretschmann,Evan Parke,king kong,Naomi Watts Thomas Kretschmann Evan Parke Peter Jackson Action Adventure Drama Romance
James Cameron,Drama Romance,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,titanic,Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron Drama Romance
Anthony Russo,Action Adventure Sci-Fi,Robert Downey Jr.,Scarlett Johansson,Chris Evans,captain america: civil war,Robert Downey Jr. Scarlett Johansson Chris Evans Anthony Russo Action Adventure Sci-Fi
Peter Berg,Action Adventure Sci-Fi Thriller,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,battleship,Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg Action Adventure Sci-Fi Thriller
Colin Trevorrow,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard,Judy Greer,Omar Sy,jurassic world,Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow Action Adventure Sci-Fi Thriller
Sam Mendes,Action Adventure Thriller,Albert Finney,Helen McCrory,Rory Kinnear,skyfall,Albert Finney Helen McCrory Rory Kinnear Sam Mendes Action Adventure Thriller
Sam Raimi,Action Adventure Fantasy Romance,J.K. Simmons,James Franco,Kirsten Dunst,spider-man 2,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy Romance
Shane Black,Action Adventure Sci-Fi,Robert Downey Jr.,Jon Favreau,Don Cheadle,iron man 3,Robert Downey Jr. Jon Favreau Don Cheadle Shane Black Action Adventure Sci-Fi
Tim Burton,Adventure Family Fantasy,Johnny Depp,Alan Rickman,Anne Hathaway,alice in wonderland,Johnny Depp Alan Rickman Anne Hathaway Tim Burton Adventure Family Fantasy
Brett Ratner,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,x-men: the last stand,Hugh Jackman Kelsey Grammer Daniel Cudmore Brett Ratner Action Adventure Fantasy Sci-Fi Thriller
Dan Scanlon,Adventure Animation Comedy Family Fantasy,Steve Buscemi,Tyler Labine,Sean Hayes,monsters university,Steve Buscemi Tyler Labine Sean Hayes Dan Scanlon Adventure Animation Comedy Family Fantasy
Michael Bay,Action Adventure Sci-Fi,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,transformers: revenge of the fallen,Glenn Morshower Kevin Dunn Ramon Rodriguez Michael Bay Action Adventure Sci-Fi
Michael Bay,Action Adventure Sci-Fi,Bingbing Li,Sophia Myles,Kelsey Grammer,transformers: age of extinction,Bingbing Li Sophia Myles Kelsey Grammer Michael Bay Action Adventure Sci-Fi
Sam Raimi,Adventure Family Fantasy,Tim Holmes,Mila Kunis,James Franco,oz the great and powerful,Tim Holmes Mila Kunis James Franco Sam Raimi Adventure Family Fantasy
Marc Webb,Action Adventure Fantasy Sci-Fi,Emma Stone,Andrew Garfield,B.J. Novak,the amazing spider-man 2,Emma Stone Andrew Garfield B.J. Novak Marc Webb Action Adventure Fantasy Sci-Fi
Joseph Kosinski,Action Adventure Sci-Fi,Jeff Bridges,Olivia Wilde,James Frain,tron: legacy,Jeff Bridges Olivia Wilde James Frain Joseph Kosinski Action Adventure Sci-Fi
John Lasseter,Adventure Animation Comedy Family Sport,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,cars 2,Joe Mantegna Thomas Kretschmann Eddie Izzard John Lasseter Adventure Animation Comedy Family Sport
Martin Campbell,Action Adventure Sci-Fi,Ryan Reynolds,Temuera Morrison,Taika Waititi,green lantern,Ryan Reynolds Temuera Morrison Taika Waititi Martin Campbell Action Adventure Sci-Fi
Lee Unkrich,Adventure Animation Comedy Family Fantasy,Tom Hanks,John Ratzenberger,Don Rickles,toy story 3,Tom Hanks John Ratzenberger Don Rickles Lee Unkrich Adventure Animation Comedy Family Fantasy
McG,Action Adventure Sci-Fi,Christian Bale,Bryce Dallas Howard,Common,terminator salvation,Christian Bale Bryce Dallas Howard Common McG Action Adventure Sci-Fi
James Wan,Action Crime Thriller,Jason Statham,Paul Walker,Vin Diesel,furious 7,Jason Statham Paul Walker Vin Diesel James Wan Action Crime Thriller
Marc Forster,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi,Brad Pitt,Mireille Enos,world war z,Peter Capaldi Brad Pitt Mireille Enos Marc Forster Action Adventure Horror Sci-Fi Thriller
Bryan Singer,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,x-men: days of future past,Jennifer Lawrence Peter Dinklage Hugh Jackman Bryan Singer Action Adventure Fantasy Sci-Fi Thriller
J.J. Abrams,Action Adventure Sci-Fi,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,star trek into darkness,Benedict Cumberbatch Bruce Greenwood Noel Clarke J.J. Abrams Action Adventure Sci-Fi
Bryan Singer,Adventure Fantasy,Eddie Marsan,Ewen Bremner,Ralph Brown,jack the giant slayer,Eddie Marsan Ewen Bremner Ralph Brown Bryan Singer Adventure Fantasy
Baz Luhrmann,Drama Romance,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,the great gatsby,Leonardo DiCaprio Elizabeth Debicki Steve Bisley Baz Luhrmann Drama Romance
Mike Newell,Action Adventure Fantasy Romance,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,prince of persia: the sands of time,Jake Gyllenhaal Richard Coyle Reece Ritchie Mike Newell Action Adventure Fantasy Romance
Guillermo del Toro,Action Adventure Sci-Fi,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,pacific rim,Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Guillermo del Toro Action Adventure Sci-Fi
Michael Bay,Action Adventure Sci-Fi,Glenn Morshower,Lester Speight,Kevin Dunn,transformers: dark of the moon,Glenn Morshower Lester Speight Kevin Dunn Michael Bay Action Adventure Sci-Fi
Steven Spielberg,Action Adventure Fantasy,Harrison Ford,Ray Winstone,Jim Broadbent,indiana jones and the kingdom of the crystal skull,Harrison Ford Ray Winstone Jim Broadbent Steven Spielberg Action Adventure Fantasy
Peter Sohn,Adventure Animation Comedy Family Fantasy,A.J. Buckley,Jack McGraw,Peter Sohn,the good dinosaur,A.J. Buckley Jack McGraw Peter Sohn Peter Sohn Adventure Animation Comedy Family Fantasy
Mark Andrews,Adventure Animation Comedy Family Fantasy,Kelly Macdonald,John Ratzenberger,Julie Walters,brave,Kelly Macdonald John Ratzenberger Julie Walters Mark Andrews Adventure Animation Comedy Family Fantasy
Justin Lin,Action Adventure Sci-Fi Thriller,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,star trek beyond,Sofia Boutella Melissa Roxburgh Lydia Wilson Justin Lin Action Adventure Sci-Fi Thriller
Andrew Stanton,Adventure Animation Family Sci-Fi,John Ratzenberger,Fred Willard,Jeff Garlin,wall·e,John Ratzenberger Fred Willard Jeff Garlin Andrew Stanton Adventure Animation Family Sci-Fi
Brett Ratner,Action Comedy Crime Thriller,Tzi Ma,Dana Ivey,Noémie Lenoir,rush hour 3,Tzi Ma Dana Ivey Noémie Lenoir Brett Ratner Action Comedy Crime Thriller
Roland Emmerich,Action Adventure Sci-Fi,Oliver Platt,Liam James,Tom McCarthy,2012,Oliver Platt Liam James Tom McCarthy Roland Emmerich Action Adventure Sci-Fi
Robert Zemeckis,Animation Drama Family Fantasy,Robin Wright,Colin Firth,Gary Oldman,a christmas carol,Robin Wright Colin Firth Gary Oldman Robert Zemeckis Animation Drama Family Fantasy
Lana Wachowski,Action Adventure Sci-Fi,Channing Tatum,Mila Kunis,Eddie Redmayne,jupiter ascending,Channing Tatum Mila Kunis Eddie Redmayne Lana Wachowski Action Adventure Sci-Fi
David Yates,Action Adventure Drama Romance,Christoph Waltz,Alexander Skarsgård,Casper Crump,the legend of tarzan,Christoph Waltz Alexander Skarsgård Casper Crump David Yates Action Adventure Drama Romance
Andrew Adamson,Adventure Family Fantasy,Jim Broadbent,Kiran Shah,Shane Rangi,"the chronicles of narnia: the lion, the witch and the wardrobe",Jim Broadbent Kiran Shah Shane Rangi Andrew Adamson Adventure Family Fantasy
Bryan Singer,Action Adventure Sci-Fi,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,x-men: apocalypse,Jennifer Lawrence Michael Fassbender Tye Sheridan Bryan Singer Action Adventure Sci-Fi
Christopher Nolan,Action Crime Drama Thriller,Christian Bale,Heath Ledger,Morgan Freeman,the dark knight,Christian Bale Heath Ledger Morgan Freeman Christopher Nolan Action Crime Drama Thriller
Pete Docter,Adventure Animation Comedy Family,John Ratzenberger,Delroy Lindo,Jess Harnell,up,John Ratzenberger Delroy Lindo Jess Harnell Pete Docter Adventure Animation Comedy Family
Rob Letterman,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler,Rainn Wilson,Stephen Colbert,monsters vs. aliens,Amy Poehler Rainn Wilson Stephen Colbert Rob Letterman Action Adventure Animation Comedy Family Sci-Fi
Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,Jeff Bridges,Jon Favreau,iron man,Robert Downey Jr. Jeff Bridges Jon Favreau Jon Favreau Action Adventure Sci-Fi
Martin Scorsese,Adventure Drama Family Mystery,Chloë Grace Moretz,Christopher Lee,Ray Winstone,hugo,Chloë Grace Moretz Christopher Lee Ray Winstone Martin Scorsese Adventure Drama Family Mystery
Barry Sonnenfeld,Action Comedy Sci-Fi Western,Will Smith,Salma Hayek,Bai Ling,wild wild west,Will Smith Salma Hayek Bai Ling Barry Sonnenfeld Action Comedy Sci-Fi Western
Rob Cohen,Action Adventure Fantasy Horror Thriller,Jet Li,Brendan Fraser,Russell Wong,the mummy: tomb of the dragon emperor,Jet Li Brendan Fraser Russell Wong Rob Cohen Action Adventure Fantasy Horror Thriller
David Ayer,Action Adventure Comedy Sci-Fi,Will Smith,Robin Atkin Downes,Ike Barinholtz,suicide squad,Will Smith Robin Atkin Downes Ike Barinholtz David Ayer Action Adventure Comedy Sci-Fi
Tom Shadyac,Comedy Family Fantasy,Jimmy Bennett,Morgan Freeman,Steve Carell,evan almighty,Jimmy Bennett Morgan Freeman Steve Carell Tom Shadyac Comedy Family Fantasy
Doug Liman,Action Adventure Sci-Fi,Tom Cruise,Lara Pulver,Noah Taylor,edge of tomorrow,Tom Cruise Lara Pulver Noah Taylor Doug Liman Action Adventure Sci-Fi
Kevin Reynolds,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,waterworld,Jeanne Tripplehorn Rick Aviles Zakes Mokae Kevin Reynolds Action Adventure Sci-Fi Thriller
Stephen Sommers,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,g.i. joe: the rise of cobra,Joseph Gordon-Levitt Dennis Quaid Leo Howard Stephen Sommers Action Adventure Sci-Fi Thriller
Pete Docter,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler,Mindy Kaling,Phyllis Smith,inside out,Amy Poehler Mindy Kaling Phyllis Smith Pete Docter Adventure Animation Comedy Drama Family Fantasy
Jon Favreau,Adventure Drama Family Fantasy,Scarlett Johansson,Bill Murray,Garry Shandling,the jungle book,Scarlett Johansson Bill Murray Garry Shandling Jon Favreau Adventure Drama Family Fantasy
Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,iron man 2,Robert Downey Jr. Scarlett Johansson Jon Favreau Jon Favreau Action Adventure Sci-Fi
Rupert Sanders,Action Adventure Drama Fantasy,Chris Hemsworth,Kristen Stewart,Sam Claflin,snow white and the huntsman,Chris Hemsworth Kristen Stewart Sam Claflin Rupert Sanders Action Adventure Drama Fantasy
Robert Stromberg,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,maleficent,Angelina Jolie Pitt Sharlto Copley Sam Riley Robert Stromberg Action Adventure Family Fantasy Romance
Matt Reeves,Action Adventure Drama Sci-Fi,Gary Oldman,Judy Greer,Kodi Smit-McPhee,dawn of the planet of the apes,Gary Oldman Judy Greer Kodi Smit-McPhee Matt Reeves Action Adventure Drama Sci-Fi
Roland Joffé,Action Adventure Romance Sci-Fi,Tamsin Egerton,Alice Englert,Bipasha Basu,the lovers,Tamsin Egerton Alice Englert Bipasha Basu Roland Joffé Action Adventure Romance Sci-Fi
Carl Rinsch,Action Adventure Drama Fantasy,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,47 ronin,Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Carl Rinsch Action Adventure Drama Fantasy
Anthony Russo,Action Adventure Sci-Fi,Scarlett Johansson,Chris Evans,Hayley Atwell,captain america: the winter soldier,Scarlett Johansson Chris Evans Hayley Atwell Anthony Russo Action Adventure Sci-Fi
Mike Mitchell,Adventure Animation Comedy Family Fantasy,Jon Hamm,Kathy Griffin,Mary Kay Place,shrek forever after,Jon Hamm Kathy Griffin Mary Kay Place Mike Mitchell Adventure Animation Comedy Family Fantasy
Brad Bird,Action Adventure Family Mystery Sci-Fi,Judy Greer,Chris Bauer,Thomas Robinson,tomorrowland,Judy Greer Chris Bauer Thomas Robinson Brad Bird Action Adventure Family Mystery Sci-Fi
Don Hall,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,big hero 6,Damon Wayans Jr. Daniel Henney Abraham Benrubi Don Hall Action Adventure Animation Comedy Drama Family Sci-Fi
Rich Moore,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,wreck-it ralph,Jack McBrayer Sarah Silverman Joe Lo Truglio Rich Moore Adventure Animation Comedy Family Sci-Fi
Robert Zemeckis,Adventure Animation Family Fantasy,Tom Hanks,Eddie Deezen,Peter Scolari,the polar express,Tom Hanks Eddie Deezen Peter Scolari Robert Zemeckis Adventure Animation Family Fantasy
Roland Emmerich,Action Adventure Sci-Fi,Vivica A. Fox,Sela Ward,Judd Hirsch,independence day: resurgence,Vivica A. Fox Sela Ward Judd Hirsch Roland Emmerich Action Adventure Sci-Fi
Dean DeBlois,Adventure Animation Family Fantasy,Gerard Butler,America Ferrera,Craig Ferguson,how to train your dragon,Gerard Butler America Ferrera Craig Ferguson Dean DeBlois Adventure Animation Family Fantasy
Jonathan Mostow,Action Sci-Fi,Nick Stahl,M.C. Gainey,Carolyn Hennesy,terminator 3: rise of the machines,Nick Stahl M.C. Gainey Carolyn Hennesy Jonathan Mostow Action Sci-Fi
James Gunn,Action Adventure Sci-Fi,Bradley Cooper,Vin Diesel,Djimon Hounsou,guardians of the galaxy,Bradley Cooper Vin Diesel Djimon Hounsou James Gunn Action Adventure Sci-Fi
Christopher Nolan,Adventure Drama Sci-Fi,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,interstellar,Matthew McConaughey Anne Hathaway Mackenzie Foy Christopher Nolan Adventure Drama Sci-Fi
Christopher Nolan,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,inception,Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Christopher Nolan Action Adventure Sci-Fi Thriller
Hideaki Anno,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,godzilla resurgence,Mark Chinnery Shin'ya Tsukamoto Atsuko Maeda Hideaki Anno Action Adventure Drama Horror Sci-Fi
Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,the hobbit: an unexpected journey,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
Rob Cohen,Action Crime Thriller,Paul Walker,Vin Diesel,Jordana Brewster,the fast and the furious,Paul Walker Vin Diesel Jordana Brewster Rob Cohen Action Crime Thriller
David Fincher,Drama Fantasy Romance,Brad Pitt,Jason Flemyng,Julia Ormond,the curious case of benjamin button,Brad Pitt Jason Flemyng Julia Ormond David Fincher Drama Fantasy Romance
Matthew Vaughn,Action Adventure Sci-Fi,Jennifer Lawrence,Michael Fassbender,Oliver Platt,x-men: first class,Jennifer Lawrence Michael Fassbender Oliver Platt Matthew Vaughn Action Adventure Sci-Fi
Francis Lawrence,Adventure Sci-Fi,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,the hunger games: mockingjay - part 2,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence Adventure Sci-Fi
Jon Turteltaub,Action Adventure Family Fantasy,Nicolas Cage,Omar Benson Miller,Robert Capron,the sorcerer's apprentice,Nicolas Cage Omar Benson Miller Robert Capron Jon Turteltaub Action Adventure Family Fantasy
Wolfgang Petersen,Action Adventure Drama Thriller,Jimmy Bennett,Mike Vogel,Andre Braugher,poseidon,Jimmy Bennett Mike Vogel Andre Braugher Wolfgang Petersen Action Adventure Drama Thriller
James Bobin,Adventure Family Fantasy,Johnny Depp,Alan Rickman,Anne Hathaway,alice through the looking glass,Johnny Depp Alan Rickman Anne Hathaway James Bobin Adventure Family Fantasy
Chris Miller,Adventure Animation Comedy Family Fantasy,Justin Timberlake,Eric Idle,Rupert Everett,shrek the third,Justin Timberlake Eric Idle Rupert Everett Chris Miller Adventure Animation Comedy Family Fantasy
Duncan Jones,Action Adventure Fantasy,Dominic Cooper,Callum Rennie,Ruth Negga,warcraft,Dominic Cooper Callum Rennie Ruth Negga Duncan Jones Action Adventure Fantasy
Alan Taylor,Action Adventure Sci-Fi,J.K. Simmons,Emilia Clarke,Matt Smith,terminator genisys,J.K. Simmons Emilia Clarke Matt Smith Alan Taylor Action Adventure Sci-Fi
Michael Apted,Adventure Family Fantasy,Bruce Spence,Shane Rangi,Laura Brent,the chronicles of narnia: the voyage of the dawn treader,Bruce Spence Shane Rangi Laura Brent Michael Apted Adventure Family Fantasy
Michael Bay,Action Drama History Romance War,Jennifer Garner,Jaime King,Mako,pearl harbor,Jennifer Garner Jaime King Mako Michael Bay Action Drama History Romance War
Michael Bay,Action Adventure Sci-Fi,Zack Ward,Michael O'Neill,Kevin Dunn,transformers,Zack Ward Michael O'Neill Kevin Dunn Michael Bay Action Adventure Sci-Fi
Oliver Stone,Action Adventure Biography Drama History Romance War,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,alexander,Anthony Hopkins Angelina Jolie Pitt Brian Blessed Oliver Stone Action Adventure Biography Drama History Romance War
David Yates,Adventure Family Fantasy Mystery,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,harry potter and the order of the phoenix,Robert Pattinson Daniel Radcliffe Fiona Shaw David Yates Adventure Family Fantasy Mystery
Mike Newell,Adventure Family Fantasy Mystery,Robert Pattinson,Daniel Radcliffe,Rupert Grint,harry potter and the goblet of fire,Robert Pattinson Daniel Radcliffe Rupert Grint Mike Newell Adventure Family Fantasy Mystery
Peter Berg,Action Drama,Will Smith,Charlize Theron,Eddie Marsan,hancock,Will Smith Charlize Theron Eddie Marsan Peter Berg Action Drama
Francis Lawrence,Drama Horror Sci-Fi,Will Smith,Alice Braga,Willow Smith,i am legend,Will Smith Alice Braga Willow Smith Francis Lawrence Drama Horror Sci-Fi
Tim Burton,Adventure Comedy Family Fantasy,Johnny Depp,Christopher Lee,David Kelly,charlie and the chocolate factory,Johnny Depp Christopher Lee David Kelly Tim Burton Adventure Comedy Family Fantasy
Brad Bird,Animation Comedy Family Fantasy,Janeane Garofalo,John Ratzenberger,Brian Dennehy,ratatouille,Janeane Garofalo John Ratzenberger Brian Dennehy Brad Bird Animation Comedy Family Fantasy
Christopher Nolan,Action Adventure,Christian Bale,Liam Neeson,Morgan Freeman,batman begins,Christian Bale Liam Neeson Morgan Freeman Christopher Nolan Action Adventure
Eric Darnell,Action Adventure Animation Comedy Family,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,madagascar: escape 2 africa,Bernie Mac Jada Pinkett Smith Cedric the Entertainer Eric Darnell Action Adventure Animation Comedy Family
Shawn Levy,Adventure Comedy Family Fantasy,Robin Williams,Rami Malek,Steve Coogan,night at the museum: battle of the smithsonian,Robin Williams Rami Malek Steve Coogan Shawn Levy Adventure Comedy Family Fantasy
Gavin Hood,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,x-men origins: wolverine,Hugh Jackman Ryan Reynolds Dominic Monaghan Gavin Hood Action Adventure Fantasy Sci-Fi Thriller
Lana Wachowski,Action Sci-Fi,Essie Davis,Collin Chou,Nona Gaye,the matrix revolutions,Essie Davis Collin Chou Nona Gaye Lana Wachowski Action Sci-Fi
Chris Buck,Adventure Animation Comedy Family Fantasy Musical,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,frozen,Josh Gad Maurice LaMarche Livvy Stubenrauch Chris Buck Adventure Animation Comedy Family Fantasy Musical
Lana Wachowski,Action Sci-Fi,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,the matrix reloaded,Steve Bastoni Daniel Bernhardt Helmut Bakaitis Lana Wachowski Action Sci-Fi
Alan Taylor,Action Adventure Fantasy,Chris Hemsworth,Natalie Portman,Anthony Hopkins,thor: the dark world,Chris Hemsworth Natalie Portman Anthony Hopkins Alan Taylor Action Adventure Fantasy
George Miller,Action Adventure Sci-Fi Thriller,Tom Hardy,Charlize Theron,Zoë Kravitz,mad max: fury road,Tom Hardy Charlize Theron Zoë Kravitz George Miller Action Adventure Sci-Fi Thriller
Ron Howard,Mystery Thriller,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,angels & demons,Tom Hanks Ayelet Zurer Armin Mueller-Stahl Ron Howard Mystery Thriller
Kenneth Branagh,Action Adventure Fantasy,Chris Hemsworth,Natalie Portman,Anthony Hopkins,thor,Chris Hemsworth Natalie Portman Anthony Hopkins Kenneth Branagh Action Adventure Fantasy
Byron Howard,Adventure Animation Comedy Drama Family,Chloë Grace Moretz,Diedrich Bader,James Lipton,bolt,Chloë Grace Moretz Diedrich Bader James Lipton Byron Howard Adventure Animation Comedy Drama Family
Hoyt Yeatman,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,g-force,Kelli Garner Piper Mackenzie Harris Niecy Nash Hoyt Yeatman Action Adventure Animation Comedy Family Fantasy Sci-Fi
Jonathan Liebesman,Action Adventure Fantasy,Liam Neeson,Edgar Ramírez,Lily James,wrath of the titans,Liam Neeson Edgar Ramírez Lily James Jonathan Liebesman Action Adventure Fantasy
Tim Burton,Comedy Fantasy Horror,Johnny Depp,Chloë Grace Moretz,Christopher Lee,dark shadows,Johnny Depp Chloë Grace Moretz Christopher Lee Tim Burton Comedy Fantasy Horror
Christopher McQuarrie,Action Adventure Thriller,Tom Cruise,Jeremy Renner,Sean Harris,mission: impossible - rogue nation,Tom Cruise Jeremy Renner Sean Harris Christopher McQuarrie Action Adventure Thriller
