,title,cast_and_crew
26,Spy Intervention,"Drew Mylrea (director); Mark Famiglietti, Lane Garrison (screenplay); Drew Van Acker, Poppy Delevingne, Natasha Bassett, Max Silvestri, Brittany Furlan, Blake Anderson"
27,The Kindness of Strangers,"Lone Scherfig (director/screenplay); Andrea Riseborough, Tahar Rahim, Zoe Kazan, Bill Nighy, Caleb Landry Jones, Jay Baruchel"
28,The Call of the Wild,"Chris Sanders (director); Michael Green (screenplay); Harrison Ford, Omar Sy, Cara Gee, Dan Stevens, Karen Gillan, Bradley Whitford"
29,The Last Thing He Wanted,"Dee Rees (director, screenplay); Marco Villalobos (screenplay); Anne Hathaway, Ben Affleck, Rosie Perez, Edi Gathegi, Mel Rodriguez, Toby Jones, Willem Dafoe"
30,Brahms: The Boy II,"William Brent Bell (director); Stacey Menear (screenplay); Katie Holmes, Owain Yeoman, Christopher Convery, Ralph Ineson"
31,The Night Clerk,"Michael Cristofer (director/screenplay); Tye Sheridan, Ana de Armas, Helen Hunt, John Leguizamo"
32,Impractical Jokers: The Movie,"Chris Henchy (director/screenplay); Brian Quinn, Joe Gatto, Sal Vulcano, James Murray (screenplay); Brian Quinn, Joe Gatto, Sal Vulcano, James Murray, Paula Abdul"
33,The Invisible Man,"Leigh Whannell (director/screenplay); Elisabeth Moss, Aldis Hodge, Storm Reid, Harriet Dyer, Michael Dorman, Oliver Jackson-Cohen"
34,All the Bright Places,"Brett Haley (director); Jennifer Niven, Liz Hannah (screenplay); Elle Fanning, Justice Smith, Alexandra Shipp, Keegan-Michael Key, Luke Wilson"
35,Wendy,"Benh Zeitlin (director/screenplay); Eliza Zeitlin (screenplay); Tommie Lynn Milazzo, Shay Walker"
36,Guns Akimbo,"Jason Lei Howden (director/screenplay); Daniel Radcliffe, Samara Weaving, Natasha Liu Bordizzo"
37,Onward,"Dan Scanlon (director/screenplay); Jason Headley, Keith Bunin (screenplay); Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer"
38,The Way Back,"Gavin O'Connor (director); Brad Ingelsby (screenplay); Ben Affleck, Al Madrigal, Michaela Watkins, Janina Gavankar, Glynn Turman"
39,Spenser Confidential,"Peter Berg (director); Sean O'Keefe, Brian Helgeland (screenplay); Mark Wahlberg, Winston Duke, Alan Arkin, Iliza Shlesinger, Bokeem Woodbine, Marc Maron, Austin Post"
40,The Banker,"George Nolfi (director/screenplay); Niceole Levy (screenplay); Anthony Mackie, Nicholas Hoult, Nia Long, Samuel L. Jackson"
41,The Burnt Orange Heresy,"Giuseppe Capotondi (director); Scott Smith (screenplay); Claes Bang, Elizabeth Debicki, Mick Jagger, Donald Sutherland"
42,Swallow,"Carlo Mirabella-Davis (director/screenplay); Haley Bennett, Austin Stowell, Elizabeth Marvel, David Rasche, Denis O'Hare"
43,First Cow,"Kelly Reichardt (director/screenplay); Jonathan Raymond (screenplay); John Magaro, Orion Hall, René Auberjonois"
44,Bloodshot,"Dave S. F. Wilson (director); Jeff Wadlow, Eric Heisserer (screenplay); Vin Diesel, Eiza González, Sam Heughan, Toby Kebbell, Lamorne Morris, Guy Pearce"
45,The Hunt,"Craig Zobel (director); Nick Cuse, Damon Lindelof (screenplay); Betty Gilpin, Ike Barinholtz, Amy Madigan, Emma Roberts, Ethan Suplee, Hilary Swank"
46,I Still Believe,"Erwin Brothers (directors); Jon Erwin, Jon Gunn (screenplay); KJ Apa, Britt Robertson, Shania Twain, Gary Sinise"
47,Lost Girls,"Liz Garbus (director); Michael Werwie (screenplay); Amy Ryan, Thomasin McKenzie, Lola Kirke, Oona Laurence, Dean Winters, Miriam Shor, Reed Birney, Kevin Corrigan, Gabriel Byrne"
48,Stargirl,"Julia Hart (director/screenplay); Kristin Hahn, Jordan Horowitz (screenplay); Grace VanderWaal, Graham Verchere, Giancarlo Esposito"
49,The Roads Not Taken,"Sally Potter (director/screenplay); Javier Bardem, Elle Fanning, Laura Linney, Salma Hayek"
50,Never Rarely Sometimes Always,"Eliza Hittman (director/screenplay); Sidney Flanigan, Talia Ryder, Theodore Pellerin, Ryan Eggold, Sharon Van Etten"
51,Big Time Adolescence,"Jason Orley (director); Jason Orley (screenplay); Pete Davidson, Griffin Gluck, Jon Cryer, Oona Laurence, Sydney Sweeney"
52,Lost Transmissions,"Katharine O'Brien (director/screenplay); Simon Pegg, Juno Temple, Alexandra Daddario, Tao Okamoto, Rosanna Arquette, Bria Vinaite"
53,Resistance,"Jonathan Jakubowicz (director/screenplay); Jesse Eisenberg, Ed Harris, Clémence Poésy, Matthias Schweighöfer, Félix Moati, Karl Markovics, Vica Kerekes, Bella Ramsey, Édgar Ramírez"
54,Uncorked,"Prentice Penny (director/screenplay); Mamoudou Athie, Courtney B. Vance, Niecy Nash, Matt McGorry"
55,Vivarium,"Lorcan Finnegan (director); Imogen Poots, Jesse Eisenberg"
56,Coffee & Kareem,"Michael Dowse (director); Shane McCarthy (screenplay); Ed Helms, Taraji P. Henson, Betty Gilpin, King Bach, David Alan Grier"
57,Trolls World Tour,"Walt Dohrn (director); Jonathan Aibel, Glenn Berger, Elizabeth Tippet, Maya Forbes, Wallace Wolodarsky (screenplay); Anna Kendrick, Justin Timberlake, Rachel Bloom, James Corden, Ron Funches, Kelly Clarkson, Anderson Paak, Sam Rockwell, George Clinton, Mary J. Blige"
58,Love Wedding Repeat,"Dean Craig (director/screenplay); Olivia Munn, Sam Claflin, Freida Pinto, Eleanor Tomlinson, Jack Farthing"
59,The Main Event,"Jay Karas (director); Larry Postel (screenplay); Seth Carr, Tichina Arnold, Ken Marino, Adam Pally"
60,We Summon the Darkness,"Marc Meyers (director); Alan Trezza (screenplay); Alexandra Daddario, Keean Johnson, Logan Miller, Maddie Hasson, Amy Forsyth, Austin Swift, Johnny Knoxville"
61,The Lost Husband,"Vicky Wight (director/screenplay); Leslie Bibb, Josh Duhamel, Nora Dunn"
62,Corona Zombies,"Charles Band (director/screenplay); Cody Renee Cameron, Russell Coker, Robin Sydney"
63,Sergio,"Greg Barker (director); Craig Borten (screenplay); Wagner Moura, Ana de Armas, Garret Dillahunt, Brían F. O'Byrne, Clemens Schick, Bradley Whitford"
64,The Willoughbys,"Kris Pearn (director/screenplay); Mark Stanleigh (screenplay); Will Forte, Maya Rudolph, Alessia Cara, Terry Crews, Martin Short, Jane Krakowski, Ricky Gervais"
65,Extraction,"Sam Hargrave (director); Joe Russo (screenplay); Chris Hemsworth, Rudhraksh Jaiswal, Randeep Hooda, Golshifteh Farahani, Pankaj Tripathi, David Harbour"
66,Braking for Whales,"Sean McEwen (director/screenplay); Tammin Sursok (screenplay); Tom Felton, Tammin Sursok, Wendi McLendon-Covey, David Koechner"
67,Bad Education,"Cory Finley (director); Mike Makowsky (screenplay); Hugh Jackman, Allison Janney, Geraldine Viswanathan, Alex Wolff, Rafael Casal, Stephen Spinella, Annaleigh Ashford, Ray Romano"
68,Dangerous Lies,"Michael Scott (director); David Golden (screenplay); Camila Mendes, Jessie T. Usher, Jamie Chung, Cam Gigandet, Sasha Alexander, Elliott Gould"
69,All Day and a Night,"Joe Robert Cole (director/screenplay); Ashton Sanders, Jeffrey Wright, Yahya Abdul-Mateen II"
70,The Wretched,"The Pierce Brothers (director/screenplay); John-Paul Howard, Piper Curda, Zarah Mahler, Kevin Bigley"
71,The Half of It,"Alice Wu (director/screenplay); Leah Lewis, Daniel Diemer, Alexxis Lemire, Collin Chou"
72,Arkansas,"Clark Duke (director/screenplay); Andrew Boonkrong (screenplay); Liam Hemsworth, Clark Duke, Michael Kenneth Williams, Vivica A. Fox, Eden Brolin, Chandler Duke, John Malkovich, Vince Vaughn"
73,Valley Girl,"Rachel Lee Goldenberg (director/screenplay);  Jessica Rothe, Josh Whitehouse, Mae Whitman, Judy Greer"
74,Capone,"Josh Trank (director/screenplay); Tom Hardy, Linda Cardellini, Jack Lowden, Noel Fisher, Kyle MacLachlan, Matt Dillon"
75,The Wrong Missy,"Tyler Spindel (director); Kevin Barnett, Chris Pappas (screenplay); David Spade, Lauren Lapkus, Geoff Pierson, Sarah Chalke, Molly Sims"
76,Scoob!,"Tony Cervone (director); Adam Sztykiel, Jack Donaldson, Derek Elliott, Matt Lieberman (screenplay); Will Forte, Mark Wahlberg, Jason Isaacs, Gina Rodriguez, Zac Efron, Amanda Seyfried, Kiersey Clemons, Ken Jeong, Tracy Morgan, Frank Welker"
77,Blood and Money,"John Barr (director/screenplay); Mike McGrale, Alan Petherick (screenplay); Tom Berenger, Kristen Hager, Mark Sivertsen, Paul Ben-Victor"
78,Body Cam,"Malik Vitthal (director); Richmond Riedel (screenplay); Mary J. Blige, Nat Wolff, David Zayas, David Warshofsky, Demetrius Grosse, Anika Noni Rose"
79,The Lovebirds,"Michael Showalter (director); Aaron Abrams, Brendan Gall (screenplay); Issa Rae, Kumail Nanjiani, Paul Sparks, Anna Camp, Kyle Bornheimer"
80,Inheritance,"Vaughn Stein (director); Matthew Kennedy (screenplay); Lily Collins, Simon Pegg, Chace Crawford, Connie Nielsen, Patrick Warburton, Adam Beach"
81,Survive the Night,"Matt Eskandari (director); Doug Wolfe (screenplay); Bruce Willis, Chad Michael Murray"
82,The Wanting Mare,Nicholas Ashe Bateman (director/screenplay); Josh Clark
83,The High Note,"Nisha Ganatra (director); Flora Greeson (screenplay); Dakota Johnson, Tracee Ellis Ross, Kelvin Harrison Jr., Ice Cube, Zoë Chao, Bill Pullman, Eddie Izzard"
84,Shirley,"Josephine Decker (director); Sarah Gubbins (screenplay); Elisabeth Moss, Michael Stuhlbarg, Odessa Young, Logan Lerman"
85,The Last Days of American Crime,"Olivier Megaton (director); Karl Gajdusek (screenplay); Édgar Ramírez, Anna Brewster, Michael Pitt, Sharlto Copley"
86,Becky,"Jonathan Milott, Cary Murnion (director); Nick Morris, Lane Skye, Ruckus Skye (screenplay); Lulu Wilson, Kevin James, Joel McHale"
87,Think Like a Dog,"Gil Junger (director/screenplay); Josh Duhamel, Megan Fox"
88,Da 5 Bloods,"Spike Lee (director/screenplay); Danny Bilson, Paul De Meo, Kevin Willmott (screenplay); Delroy Lindo, Jonathan Majors, Clarke Peters, Norm Lewis, Isiah Whitlock Jr., Mélanie Thierry, Paul Walter Hauser, Jasper Pääkkönen, Jean Reno, Chadwick Boseman"
89,Artemis Fowl,"Kenneth Branagh (director); Conor McPherson, Hamish McColl (screenplay); Ferdia Shaw, Lara McDonnell, Josh Gad, Tamara Smart, Nonso Anozie, Colin Farrell, Judi Dench"
90,The King of Staten Island,"Judd Apatow (director/screenplay); Pete Davidson, Dave Sirus (screenplay); Pete Davidson, Marisa Tomei, Bill Burr, Bel Powley, Maude Apatow, Steve Buscemi"
91,Sniper: Assassin's End,"Kaare Andrews (director); Oliver Thompson (screenplay); Chad Michael Collins, Tom Berenger, Sayaka Akimoto, Lochlyn Munro, Ryan Robbins"
92,You Should Have Left,"David Koepp (director/screenplay); Kevin Bacon, Amanda Seyfried"
93,Wasp Network,"Olivier Assayas (director/screenplay); Penélope Cruz, Édgar Ramírez, Gael García Bernal, Ana de Armas, Wagner Moura"
94,Feel the Beat,"Elissa Down (director); Sofia Carson, Enrico Colantoni, Wolfgang Novogratz"
95,7500,Patrick Vollrath (director/screenplay); Joseph Gordon-Levitt
96,Athlete A,"Bonni Cohen, Jon Shenk (director)"
97,Eurovision Song Contest: The Story of Fire Saga,"David Dobkin (director); Will Ferrell, Andrew Steele (screenplay); Will Ferrell, Rachel McAdams, Dan Stevens, Demi Lovato, Pierce Brosnan"
98,Irresistible,"Jon Stewart (director/screenplay); Steve Carell, Chris Cooper, Mackenzie Davis, Topher Grace, Natasha Lyonne, Rose Byrne"
99,My Spy,"Peter Segal (director); Jon Hoeber, Erich Hoeber (screenplay); Dave Bautista, Chloe Coleman, Kristen Schaal, Ken Jeong"
100,We Bare Bears: The Movie,"Daniel Chong (director); Mikey Heller, Kris Mukai (screenplay); Eric Edelstein, Bobby Moynihan, Demetri Martin, Marc Evan Jackson, Keith Ferguson"
101,Hamilton,"Thomas Kail (director); Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry, Christopher Jackson, Daveed Diggs, Okieriete Onaodowan, Anthony Ramos, Jasmine Cephas Jones, Jonathan Groff"
102,Relic,"Natalie Erika James (director/screenplay); Christian White (screenplay); Emily Mortimer, Robyn Nevin, Bella Heathcote"
103,Desperados,"LP (director); Ellen Rapoport (screenplay); Anna Camp, Robbie Amell, Nasim Pedrad, Lamorne Morris, Heather Graham, Sarah Burns"
104,The Old Guard,"Gina Prince-Bythewood (director); Greg Rucka (screenplay); Charlize Theron, KiKi Layne, Marwan Kenzari, Luca Marinelli, Harry Melling, Veronica Ngo, Matthias Schoenaerts, Chiwetel Ejiofor"
105,Greyhound,"Aaron Schneider (director); Tom Hanks (screenplay); Tom Hanks, Stephen Graham, Rob Morgan, Elisabeth Shue"
106,Palm Springs,"Max Barbakow (director); Andy Siara (screenplay); Andy Samberg, Cristin Milioti, Peter Gallagher, J. K. Simmons"
107,Fatal Affair,"Peter Sullivan (director/screenplay); Rasheeda Garner (screenplay); Nia Long, Omar Epps, Stephen Bishop, KJ Smith"
108,The Silencing,"Robin Pront (director); Micah Ranum (screenplay); Annabelle Wallis, Hero Fiennes-Tiffin, Nikolaj Coster-Waldau"
109,A Nice Girl Like You,"The Brothers Riedell (directors); Andrea Marcellus (screenplay); Lucy Hale, Leonidas Gulaptis, Jackie Cruz"
110,Ghosts of War,"Eric Bress (director/screenplay); Brenton Thwaites, Theo Rossi, Skylar Astin, Kyle Gallner, Alan Ritchson"
111,Animal Crackers,"Scott Christian Sava, Tony Bancroft (directors); Scott Christian Sava, Dean Lorey (screenplay); John Krasinski, Emily Blunt, Ian McKellen, Danny DeVito, Sylvester Stallone, Raven-Symoné, Patrick Warburton"
112,The Kissing Booth 2,"Vince Marcello (director/screenplay); Jay Arnold (screenplay); Joey King, Joel Courtney, Jacob Elordi, Maisie Richardson-Sellers, Taylor Perez, Molly Ringwald"
113,The Rental,"Dave Franco (director/screenplay); Joe Swanberg (screenplay); Dan Stevens, Alison Brie, Sheila Vand, Jeremy Allen White, Toby Huss"
114,Deep Blue Sea 3,"John Pogue (director); Dirk Blackman (screenplay); Tania Raymonde, Nathaniel Buzolic, Emerson Brooks, Bren Foster"
115,Black Is King,"Beyoncé, Emmanuel Adjei, Blitz Bazawule, Ibra Ake, Jenn Nkiru, Jake Nava, Pierre Debusschere, Dikayl Rimmasch (directors); Beyoncé, Yrsa Daley-Ward, Clover Hope, Andrew Morro (screenplay); Beyoncé"
116,The Secret: Dare To Dream,"Andy Tennant (director/screenplay); Bekah Brunstetter, Rick Parks (screenplay); Katie Holmes, Josh Lucas, Jerry O'Connell, Celia Weston"
117,Summerland,"Jessica Swale (director/screenplay); Gemma Arterton, Gugu Mbatha-Raw, Penelope Wilton, Tom Courtenay"
118,She Dies Tomorrow,"Amy Seimetz (director/screenplay); Kate Lyn Sheil, Jane Adams, Kentucker Audley, Katie Aselton, Adam Wingard"
119,An American Pickle,"Brandon Trost (director); Simon Rich (screenplay); Seth Rogen, Sarah Snook"
120,The Tax Collector,"David Ayer (director/screenplay); Bobby Soto, Shia LaBeouf, Cinthya Carmona, George Lopez"
121,Waiting for the Barbarians,"Ciro Guerra (director); J. M. Coetzee (screenplay); Mark Rylance, Johnny Depp,  Robert Pattinson, Gana Bayarsaikhan, Greta Scacchi"
122,Project Power,"Henry Joost, Ariel Schulman (director); Mattson Tomlin (screenplay); Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro, Machine Gun Kelly, Allen Maldonado, Amy Landecker, Courtney B. Vance, C.J. LeBlanc"
123,Magic Camp,"Mark Waters (director); Micah Fitzerman-Blue, Noah Harpster, Matt Spicer, Max Winkler, Dan Gregor, Doug Mand (screenplay); Adam DeVine, Gillian Jacobs, Jeffrey Tambor"
124,Boys State,"Amanda McBaine, Jesse Moss (directors)"
125,Spree,"Eugene Kotlyarenko (director); Gene McHugh (screenplay); Joe Keery, Sasheer Zamata, Mischa Barton, John DeLuca"
126,The SpongeBob Movie: Sponge on the Run (Canadian theatrical release),"Tim Hill (director/screenplay); Tom Kenny, Awkwafina, Matt Berry, Snoop Dogg, Bill Fagerbakke, Clancy Brown, Tiffany Haddish, Carolyn Lawrence, Mr. Lawrence, Keanu Reeves, Danny Trejo, Reggie Watts"
127,The One and Only Ivan,"Thea Sharrock (director); Mike White (screenplay); Sam Rockwell, Angelina Jolie, Danny DeVito, Helen Mirren, Brooklynn Prince, Ramón Rodríguez, Ariana Greenblatt, Chaka Khan, Ron Funches, Phillipa Soo, Mike White, Bryan Cranston"
128,Unhinged,"Derrick Borte (director); Carl Ellsworth (screenplay); Russell Crowe, Caren Pistorius, Gabriel Bateman, Jimmi Simpson, Austin P. McKenzie"
129,Tesla,"Michael Almereyda (director/screenplay); Ethan Hawke, Eve Hewson, Ebon Moss-Bachrach, Jim Gaffigan, Kyle MacLachlan"
130,Cut Throat City,"RZA (director); Paul Cuschieri (screenplay); Shameik Moore, T.I., Demetrius Shipp Jr., Kat Graham, Wesley Snipes, Terrence Howard, Eiza González, Ethan Hawke"
131,Words on Bathroom Walls,"Thor Freudenthal (director); Nick Naveda (screenplay); Charlie Plummer, Andy García, Taylor Russell, AnnaSophia Robb, Beth Grant, Molly Parker, Walton Goggins"
132,Hard Kill,"Matt Eskandari (director); Chris LaMont, Joe Russo (screenplay); Jesse Metcalfe, Bruce Willis"
133,Chemical Hearts,"Richard Tanne (director/screenplay); Austin Abrams, Lili Reinhart"
134,Tenet,"Christopher Nolan (director/screenplay); John David Washington, Robert Pattinson, Elizabeth Debicki, Dimple Kapadia, Martin Donovan, Fiona Dourif, Yuri Kolokolnikov, Himesh Patel, Clémence Poésy, Aaron Taylor-Johnson, Michael Caine, Kenneth Branagh"
135,Bill & Ted Face the Music,"Dean Parisot (director); Chris Matheson, Ed Solomon (screenplay); Keanu Reeves, Alex Winter, Kristen Schaal, Samara Weaving, Brigette Lundy-Paine, Anthony Carrigan, Erinn Hayes, Jayma Mays, Holland Taylor, Kid Cudi, William Sadler, Jillian Bell"
136,The New Mutants,"Josh Boone (director/screenplay); Knate Lee (screenplay); Maisie Williams, Anya Taylor-Joy, Charlie Heaton, Alice Braga, Blu Hunt, Henry Zaga, Adam Beach"
137,The Personal History of David Copperfield,"Armando Iannucci (director/screenplay); Simon Blackwell (screenplay); Dev Patel, Aneurin Barnard, Peter Capaldi, Morfydd Clark, Daisy May Cooper, Rosalind Eleazar, Hugh Laurie, Tilda Swinton, Ben Whishaw, Paul Whitehouse"
138,I'm Thinking of Ending Things,"Charlie Kaufman (director/screenplay); Jesse Plemons, Jessie Buckley, Toni Collette, David Thewlis"
139,Phineas and Ferb the Movie: Candace Against the Universe,"Bob Bowen (director); Dan Povenmire, Jeff ""Swampy"" Marsh, Jon Colton Barry, Jim Bernstein, Joshua Pruett (screenplay); Vincent Martella, Ashley Tisdale, David Errigo Jr., Dee Bradley Baker, Dan Povenmire, Caroline Rhea, Jeff ""Swampy"" Marsh, Alyson Stoner"
140,All Together Now,"Brett Haley (director); Matthew Quick, Matt Basch (screenplay); Auliʻi Cravalho, Rhenzy Feliz, Judy Reyes, Justina Machado, Taylor Richardson, C.S. Lee, Fred Armisen, Carol Burnett"
141,Rogue,"M. J. Bassett (director/screenplay); Isabel Bassett (screenplay); Megan Fox, Philip Winchester"
142,Centigrade,"Brendan Walsh (director/screenplay); Genesis Rodriguez, Vincent Piazza, Louis Cancelmi"
143,The Binge,"Jeremy Garelick (director); Jordan VanDina (screenplay); Skyler Gisondo, Eduardo Franco, Dexter Darden, Vince Vaughn"
144,"Love, Guaranteed","Mark Steven Johnson (director); Elizabeth Hackett, Hilary Galanoy (screenplay); Rachael Leigh Cook, Damon Wayans Jr."
145,Mulan,"Niki Caro (director); Rick Jaffa, Amanda Silver, Laura Hynek, Elizabeth Martin (screenplay); Liu Yifei, Donnie Yen, Tzi Ma, Jason Scott Lee, Yoson An, Ron Yuan, Gong Li, Jet Li"
146,Critical Thinking,"John Leguizamo (director); Dito Montiel (screenplay); John Leguizamo, Jorge Lendeborg Jr., Angel Bismark Curiel, Will Hochman, Corwin Tuggles, Jeffry Batista, Ramses Jimenez, Rachel Bay Jones, Michael K. Williams"
147,The Owners,"Julius Berg (director/screenplay); Mathieu Gompel (screenplay); Maisie Williams, Sylvester McCoy, Rita Tushingham, Jake Curran, Andrew Ellis, Ian Kenny"
148,Guest House,"Sam Macaroni (director/screenplay); Sean Bishop, Troy Duffy (screenplay); Pauly Shore, Mike Castle, Aimee Teegarden, Billy Zane, Steve-O, Charlotte McKinney, Mikaela Hoover"
149,The Babysitter: Killer Queen,"McG (director/screenplay); Dan Lagana (screenplay); Judah Lewis, Emily Alyn Lind, Jenna Ortega, Robbie Amell, Bella Thorne, Samara Weaving"
150,Unpregnant,"Rachel Lee Goldenberg (director/screenplay); Ted Caplan, Jenni Hendriks, Jennifer Kaytin Robinson, William Parker (screenplay); Haley Lu Richardson, Barbie Ferreira, Alex MacNicoll, Breckin Meyer, Giancarlo Esposito"
151,The Devil All the Time,"Antonio Campos (director/screenplay); Paulo Campos (screenplay); Tom Holland, Bill Skarsgård, Riley Keough, Jason Clarke, Sebastian Stan, Haley Bennett, Eliza Scanlen, Mia Wasikowska, Robert Pattinson"
152,The Broken Hearts Gallery,"Natalie Krinsky (director/screenplay); Geraldine Viswanathan, Dacre Montgomery, Utkarsh Ambudkar, Molly Gordon, Phillipa Soo, Bernadette Peters"
153,I Met a Girl,"Luke Eve (director); Glen Dolman (screenplay); Brenton Thwaites, Lily Sullivan, Joel Jackson"
154,Rent-A-Pal,"Jon Stevenson (director/screenplay); Wil Wheaton, Brian Landis Folkins, Kathleen Brady, Amy Rutledge, Adrian Egolf"
155,Cats & Dogs 3: Paws Unite!,"Sean McNamara (director); Scott Bindley (screenplay); Melissa Rauch, Max Greenfield, George Lopez"
156,The Secrets We Keep,"Yuval Adler (director/screenplay); Ryan Covington (screenplay); Noomi Rapace, Joel Kinnaman, Chris Messina"
157,Antebellum,"Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe"
158,The Nest,"Sean Durkin (director/screenplay); Jude Law, Carrie Coon, Charlie Shotwell, Oona Roche, Adeel Akhtar"
159,Blackbird,"Roger Michell (director); Christian Torpe (screenplay); Susan Sarandon, Kate Winslet, Mia Wasikowska, Lindsay Duncan, Rainn Wilson, Bex Taylor-Klaus, Sam Neill"
160,Lost Girls & Love Hotels,"William Olsson (director); Catherine Hanrahan (screenplay); Alexandra Daddario, Takehiro Hira, Carice van Houten"
161,Killian & the Comeback Kids,"Taylor A. Purdee (director/screenplay); Taylor A. Purdee, John Donchak, Nathan Purdee, Kassie DePaiva"
