director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title
David Yates,Action Adventure Drama Romance,Christoph Waltz,Alexander Skarsgård,Casper Crump,The Legend of Tarzan
Andrew Adamson,Adventure Family Fantasy,Jim Broadbent,Kiran Shah,Shane Rangi,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Bryan Singer,Action Adventure Sci-Fi,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,X-Men: Apocalypse
Christopher Nolan,Action Crime Drama Thriller,Christian Bale,Heath Ledger,Morgan Freeman,The Dark Knight
Pete Docter,Adventure Animation Comedy Family,John Ratzenberger,Delroy Lindo,Jess Harnell,Up
Rob Letterman,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler,Rainn Wilson,Stephen Colbert,Monsters vs. Aliens
Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Iron Man
Martin Scorsese,Adventure Drama Family Mystery,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Hugo
Barry Sonnenfeld,Action Comedy Sci-Fi Western,Will Smith,Salma Hayek,Bai Ling,Wild Wild West
Rob Cohen,Action Adventure Fantasy Horror Thriller,Jet Li,Brendan Fraser,Russell Wong,The Mummy: Tomb of the Dragon Emperor
David Ayer,Action Adventure Comedy Sci-Fi,Will Smith,Robin Atkin Downes,Ike Barinholtz,Suicide Squad
Tom Shadyac,Comedy Family Fantasy,Jimmy Bennett,Morgan Freeman,Steve Carell,Evan Almighty
Doug Liman,Action Adventure Sci-Fi,Tom Cruise,Lara Pulver,Noah Taylor,Edge of Tomorrow
Kevin Reynolds,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Waterworld
Stephen Sommers,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,G.I. Joe: The Rise of Cobra
Pete Docter,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler,Mindy Kaling,Phyllis Smith,Inside Out
Jon Favreau,Adventure Drama Family Fantasy,Scarlett Johansson,Bill Murray,Garry Shandling,The Jungle Book
Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Iron Man 2
Rupert Sanders,Action Adventure Drama Fantasy,Chris Hemsworth,Kristen Stewart,Sam Claflin,Snow White and the Huntsman
Robert Stromberg,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Maleficent
Matt Reeves,Action Adventure Drama Sci-Fi,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Dawn of the Planet of the Apes
Roland Joffé,Action Adventure Romance Sci-Fi,Tamsin Egerton,Alice Englert,Bipasha Basu,The Lovers
Carl Rinsch,Action Adventure Drama Fantasy,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,47 Ronin
Anthony Russo,Action Adventure Sci-Fi,Scarlett Johansson,Chris Evans,Hayley Atwell,Captain America: The Winter Soldier
Mike Mitchell,Adventure Animation Comedy Family Fantasy,Jon Hamm,Kathy Griffin,Mary Kay Place,Shrek Forever After
Brad Bird,Action Adventure Family Mystery Sci-Fi,Judy Greer,Chris Bauer,Thomas Robinson,Tomorrowland
Don Hall,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Big Hero 6
Rich Moore,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Wreck-It Ralph
Robert Zemeckis,Adventure Animation Family Fantasy,Tom Hanks,Eddie Deezen,Peter Scolari,The Polar Express
Roland Emmerich,Action Adventure Sci-Fi,Vivica A. Fox,Sela Ward,Judd Hirsch,Independence Day: Resurgence
Dean DeBlois,Adventure Animation Family Fantasy,Gerard Butler,America Ferrera,Craig Ferguson,How to Train Your Dragon
Jonathan Mostow,Action Sci-Fi,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Terminator 3: Rise of the Machines
James Gunn,Action Adventure Sci-Fi,Bradley Cooper,Vin Diesel,Djimon Hounsou,Guardians of the Galaxy
Christopher Nolan,Adventure Drama Sci-Fi,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Interstellar
Christopher Nolan,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Inception
Hideaki Anno,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Godzilla Resurgence
Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,The Hobbit: An Unexpected Journey
Rob Cohen,Action Crime Thriller,Paul Walker,Vin Diesel,Jordana Brewster,The Fast and the Furious
David Fincher,Drama Fantasy Romance,Brad Pitt,Jason Flemyng,Julia Ormond,The Curious Case of Benjamin Button
Matthew Vaughn,Action Adventure Sci-Fi,Jennifer Lawrence,Michael Fassbender,Oliver Platt,X-Men: First Class
Francis Lawrence,Adventure Sci-Fi,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,The Hunger Games: Mockingjay - Part 2
Jon Turteltaub,Action Adventure Family Fantasy,Nicolas Cage,Omar Benson Miller,Robert Capron,The Sorcerer's Apprentice
Wolfgang Petersen,Action Adventure Drama Thriller,Jimmy Bennett,Mike Vogel,Andre Braugher,Poseidon
James Bobin,Adventure Family Fantasy,Johnny Depp,Alan Rickman,Anne Hathaway,Alice Through the Looking Glass
Chris Miller,Adventure Animation Comedy Family Fantasy,Justin Timberlake,Eric Idle,Rupert Everett,Shrek the Third
Duncan Jones,Action Adventure Fantasy,Dominic Cooper,Callum Rennie,Ruth Negga,Warcraft
Alan Taylor,Action Adventure Sci-Fi,J.K. Simmons,Emilia Clarke,Matt Smith,Terminator Genisys
Michael Apted,Adventure Family Fantasy,Bruce Spence,Shane Rangi,Laura Brent,The Chronicles of Narnia: The Voyage of the Dawn Treader
Michael Bay,Action Drama History Romance War,Jennifer Garner,Jaime King,Mako,Pearl Harbor
Michael Bay,Action Adventure Sci-Fi,Zack Ward,Michael O'Neill,Kevin Dunn,Transformers
Oliver Stone,Action Adventure Biography Drama History Romance War,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Alexander
David Yates,Adventure Family Fantasy Mystery,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Harry Potter and the Order of the Phoenix
Mike Newell,Adventure Family Fantasy Mystery,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Harry Potter and the Goblet of Fire
Peter Berg,Action Drama,Will Smith,Charlize Theron,Eddie Marsan,Hancock
Francis Lawrence,Drama Horror Sci-Fi,Will Smith,Alice Braga,Willow Smith,I Am Legend
Tim Burton,Adventure Comedy Family Fantasy,Johnny Depp,Christopher Lee,David Kelly,Charlie and the Chocolate Factory
Brad Bird,Animation Comedy Family Fantasy,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Ratatouille
Christopher Nolan,Action Adventure,Christian Bale,Liam Neeson,Morgan Freeman,Batman Begins
Eric Darnell,Action Adventure Animation Comedy Family,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Madagascar: Escape 2 Africa
Shawn Levy,Adventure Comedy Family Fantasy,Robin Williams,Rami Malek,Steve Coogan,Night at the Museum: Battle of the Smithsonian
Gavin Hood,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,X-Men Origins: Wolverine
Lana Wachowski,Action Sci-Fi,Essie Davis,Collin Chou,Nona Gaye,The Matrix Revolutions
Chris Buck,Adventure Animation Comedy Family Fantasy Musical,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Frozen
Lana Wachowski,Action Sci-Fi,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,The Matrix Reloaded
Alan Taylor,Action Adventure Fantasy,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Thor: The Dark World
George Miller,Action Adventure Sci-Fi Thriller,Tom Hardy,Charlize Theron,Zoë Kravitz,Mad Max: Fury Road
Ron Howard,Mystery Thriller,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Angels & Demons
Kenneth Branagh,Action Adventure Fantasy,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Thor
Byron Howard,Adventure Animation Comedy Drama Family,Chloë Grace Moretz,Diedrich Bader,James Lipton,Bolt
Hoyt Yeatman,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,G-Force
Jonathan Liebesman,Action Adventure Fantasy,Liam Neeson,Edgar Ramírez,Lily James,Wrath of the Titans
Tim Burton,Comedy Fantasy Horror,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Dark Shadows
Christopher McQuarrie,Action Adventure Thriller,Tom Cruise,Jeremy Renner,Sean Harris,Mission: Impossible - Rogue Nation
Joe Johnston,Drama Fantasy Horror Thriller,Anthony Hopkins,Simon Merrells,Art Malik,The Wolfman
David Yates,Action Adventure Drama Romance,Christoph Waltz,Alexander Skarsgård,Casper Crump,The Legend of Tarzan
Steve Hickner,Adventure Animation Comedy Family,Matthew Broderick,Oprah Winfrey,Rip Torn,Bee Movie
Jennifer Yuh Nelson,Action Adventure Animation Comedy Family,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Kung Fu Panda 2
M. Night Shyamalan,Action Adventure Family Fantasy,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,The Last Airbender
J.J. Abrams,Action Adventure Thriller,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,Mission: Impossible III
Roland Emmerich,Action Drama Thriller,Channing Tatum,Jake Weber,Matt Craven,White House Down
Simon Wells,Action Adventure Animation Comedy Family Sci-Fi,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Mars Needs Moms
David Bowers,Adventure Animation Comedy Family,Hugh Jackman,Kate Winslet,David Suchet,Flushed Away
Joe Wright,Adventure Family Fantasy,Hugh Jackman,Cara Delevingne,Nonso Anozie,Pan
Rob Minkoff,Adventure Animation Comedy Family Sci-Fi,Ty Burrell,Zach Callison,Karan Brar,Mr. Peabody & Sherman
Wolfgang Petersen,Adventure,Brad Pitt,Orlando Bloom,Julian Glover,Troy
Eric Darnell,Adventure Animation Comedy Family,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Madagascar 3: Europe's Most Wanted
Lee Tamahori,Action Adventure Thriller,Toby Stephens,Colin Salmon,Rick Yune,Die Another Day
Paul Feig,Action Comedy Fantasy Sci-Fi,Ed Begley Jr.,Kate McKinnon,Zach Woods,Ghostbusters
Michael Bay,Action Adventure Sci-Fi Thriller,Bruce Willis,Steve Buscemi,Will Patton,Armageddon
Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,Will Smith,Rosario Dawson,Rip Torn,Men in Black II
Robert Zemeckis,Action Adventure Animation Fantasy,Robin Wright,Anthony Hopkins,Sebastian Roché,Beowulf
Alessandro Carloni,Action Adventure Animation Comedy Family,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,Kung Fu Panda 3
Brad Bird,Action Adventure Thriller,Tom Cruise,Jeremy Renner,Michael Nyqvist,Mission: Impossible - Ghost Protocol
Peter Ramsey,Adventure Animation Family Fantasy,Hugh Jackman,Kamil McFadden,Khamani Griffin,Rise of the Guardians
Dean Parisot,Comedy Crime,John Michael Higgins,Richard Burgi,David Herman,Fun with Dick and Jane
Edward Zwick,Action Drama History War,Tom Cruise,Tony Goldwyn,Chad Lindberg,The Last Samurai
Ridley Scott,Action Adventure Drama,Christian Bale,María Valverde,Ben Mendelsohn,Exodus: Gods and Kings
J.J. Abrams,Action Adventure Sci-Fi,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,Star Trek
Sam Raimi,Action Adventure Fantasy Romance,J.K. Simmons,James Franco,Kirsten Dunst,Spider-Man
Dean DeBlois,Action Adventure Animation Comedy Family Fantasy,Gerard Butler,Djimon Hounsou,America Ferrera,How to Train Your Dragon 2
Alex Proyas,Action Adventure Fantasy,Gerard Butler,Elodie Yung,Bryan Brown,Gods of Egypt
Rob Cohen,Action Adventure Sci-Fi Thriller,Sam Shepard,Joe Morton,Richard Roxburgh,Stealth
Zack Snyder,Action Drama Mystery Sci-Fi,Matt Frewer,Billy Crudup,Stephen McHattie,Watchmen
Richard Donner,Action Crime Thriller,Jet Li,Rene Russo,Darlene Love,Lethal Weapon 4
Ang Lee,Action Sci-Fi,Kevin Rankin,Regi Davis,Celia Weston,Hulk
Jon M. Chu,Action Adventure Sci-Fi Thriller,Channing Tatum,Dwayne Johnson,Elodie Yung,G.I. Joe: Retaliation
Breck Eisner,Action Adventure Comedy Thriller,Matthew McConaughey,Rainn Wilson,Delroy Lindo,Sahara
Hironobu Sakaguchi,Action Adventure Animation Fantasy Romance Sci-Fi,Steve Buscemi,Ming-Na Wen,Jean Simmons,Final Fantasy: The Spirits Within
Joe Johnston,Action Adventure Sci-Fi,Chris Evans,Dominic Cooper,Hayley Atwell,Captain America: The First Avenger
Michael Apted,Action Adventure Thriller,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,The World Is Not Enough
Peter Weir,Action Adventure Drama History War,James D'Arcy,Lee Ingleby,David Threlfall,Master and Commander: The Far Side of the World
Bill Condon,Adventure Drama Fantasy Romance,Robert Pattinson,Kristen Stewart,Taylor Lautner,The Twilight Saga: Breaking Dawn - Part 2
George Miller,Animation Comedy Family Musical,Robin Williams,Brad Pitt,Common,Happy Feet 2
Louis Leterrier,Action Adventure Sci-Fi,Ty Burrell,Peter Mensah,William Hurt,The Incredible Hulk
Not Available,Action Crime Drama Mystery Thriller,Don Johnson,Philip Michael Thomas,John Diehl,Miami Vice
Steven Spielberg,Adventure Family Fantasy,Mark Rylance,Penelope Wilton,Rafe Spall,The BFG
Alejandro G. Iñárritu,Adventure Drama Thriller Western,Leonardo DiCaprio,Tom Hardy,Lukas Haas,The Revenant
David Soren,Adventure Animation Comedy Family Sport,Ryan Reynolds,Snoop Dogg,Ben Schwartz,Turbo
Gore Verbinski,Adventure Animation Comedy Family Western,Johnny Depp,Ray Winstone,Stephen Root,Rango
Eric Darnell,Adventure Animation Comedy Family,Benedict Cumberbatch,Annet Mahendru,Andy Richter,Penguins of Madagascar
Paul Greengrass,Action Mystery Thriller,Matt Damon,Edgar Ramírez,Albert Finney,The Bourne Ultimatum
Mark Osborne,Action Adventure Animation Comedy Family,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,Kung Fu Panda
Peyton Reed,Action Adventure Comedy Sci-Fi,Judy Greer,Hayley Atwell,T.I.,Ant-Man
Francis Lawrence,Adventure Sci-Fi Thriller,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,The Hunger Games: Catching Fire
Bill Condon,Adventure Drama Fantasy Romance,Robert Pattinson,Kristen Stewart,Taylor Lautner,The Twilight Saga: Breaking Dawn - Part 2
Tim Johnson,Adventure Animation Comedy Family Fantasy Sci-Fi,Jim Parsons,Matt Jones,April Winchell,Home
Steven Spielberg,Adventure Sci-Fi Thriller,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,War of the Worlds
Michael Bay,Action Comedy Crime Thriller,Will Smith,Henry Rollins,Jordi Mollà,Bad Boys II
Chris Miller,Action Adventure Animation Comedy Family Fantasy,Salma Hayek,Constance Marie,Amy Sedaris,Puss in Boots
Phillip Noyce,Action Crime Mystery Thriller,Angelina Jolie Pitt,Andre Braugher,August Diehl,Salt
Darren Aronofsky,Action Adventure Drama,Anthony Hopkins,Emma Watson,Logan Lerman,Noah
Steven Spielberg,Action Adventure Family Mystery,Toby Jones,Mackenzie Crook,Tony Curran,The Adventures of Tintin
Alfonso Cuarón,Adventure Family Fantasy Mystery,Daniel Radcliffe,Gary Oldman,Rupert Grint,Harry Potter and the Prisoner of Azkaban
Baz Luhrmann,Adventure Drama Romance War,Essie Davis,Bryan Brown,Eddie Baroo,Australia
M. Night Shyamalan,Action Adventure Sci-Fi,Will Smith,Zoë Kravitz,Glenn Morshower,After Earth
Eric Leighton,Adventure Animation Family Thriller,Alfre Woodard,D.B. Sweeney,Della Reese,Dinosaur
Matt Birch,Action Fantasy,Rupert Grint,Dave Legeno,Ralph Ineson,Harry Potter and the Deathly Hallows: Part II
Shawn Levy,Adventure Comedy Family Fantasy,Robin Williams,Rami Malek,Steve Coogan,Night at the Museum: Secret of the Tomb
Tom McGrath,Action Animation Comedy Family Sci-Fi,J.K. Simmons,Brad Pitt,Will Ferrell,Megamind
Chris Columbus,Adventure Family Fantasy,Daniel Radcliffe,Fiona Shaw,Verne Troyer,Harry Potter and the Sorcerer's Stone
Robert Schwentke,Action Comedy Fantasy,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,R.I.P.D.
Hideaki Anno,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Godzilla Resurgence
Gore Verbinski,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport,Pirates of the Caribbean: The Curse of the Black Pearl
Matt Birch,Fantasy,Rupert Grint,Toby Jones,Alfred Enoch,Harry Potter and the Deathly Hallows: Part I
Francis Lawrence,Adventure Sci-Fi Thriller,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,The Hunger Games: Mockingjay - Part 1
Ron Howard,Mystery Thriller,Tom Hanks,Seth Gabel,Jürgen Prochnow,The Da Vinci Code
Carlos Saldanha,Adventure Animation Comedy Family Musical,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,Rio 2
Bryan Singer,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Bruce Davison,Aaron Stanford,X-Men 2
Justin Lin,Action Crime Thriller,Paul Walker,Vin Diesel,Dwayne Johnson,Fast Five
Guy Ritchie,Action Adventure Crime Mystery Thriller,Robert Downey Jr.,Eddie Marsan,Paul Anderson,Sherlock Holmes: A Game of Shadows
Louis Leterrier,Action Adventure Fantasy,Liam Neeson,Jason Flemyng,Alexa Davalos,Clash of the Titans
Paul Verhoeven,Action Sci-Fi,Ronny Cox,Rachel Ticotin,Marshall Bell,Total Recall
John McTiernan,Action Adventure History,Tony Curran,Vladimir Kulich,Clive Russell,The 13th Warrior
Tony Gilroy,Action Adventure Thriller,Jeremy Renner,Scott Glenn,Stacy Keach,The Bourne Legacy
Joel Schumacher,Action,Michael Gough,Vivica A. Fox,John Glover,Batman & Robin
Ron Howard,Comedy Family Fantasy,Clint Howard,T.J. Thyne,Molly Shannon,How the Grinch Stole Christmas
Roland Emmerich,Action Adventure Sci-Fi Thriller,Jake Gyllenhaal,Dennis Quaid,Sela Ward,The Day After Tomorrow
John Woo,Action Adventure Thriller,Tom Cruise,Dougray Scott,Richard Roxburgh,Mission: Impossible II
Wolfgang Petersen,Action Adventure Drama Thriller,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,The Perfect Storm
Tim Story,Action Adventure Sci-Fi Thriller,Chris Evans,Ioan Gruffudd,Andre Braugher,Fantastic 4: Rise of the Silver Surfer
Ang Lee,Adventure Drama Fantasy,Suraj Sharma,Rafe Spall,Tabu,Life of Pi
Mark Steven Johnson,Action Fantasy Thriller,Nicolas Cage,Matt Long,Peter Fonda,Ghost Rider
Paul Greengrass,Action Thriller,Matt Damon,Riz Ahmed,Ato Essandoh,Jason Bourne
McG,Action Adventure Comedy Crime,Demi Moore,Bernie Mac,Justin Theroux,Charlie's Angels: Full Throttle
Ridley Scott,Adventure Mystery Sci-Fi,Michael Fassbender,Charlize Theron,Sean Harris,Prometheus
Rob Minkoff,Adventure Animation Comedy Family Fantasy,Nathan Lane,Brad Garrett,Melanie Griffith,Stuart Little 2
Neill Blomkamp,Action Drama Sci-Fi Thriller,Matt Damon,Sharlto Copley,Alice Braga,Elysium
David Twohy,Action Adventure Sci-Fi Thriller,Vin Diesel,Alexa Davalos,Christina Cox,The Chronicles of Riddick
José Padilha,Action Crime Sci-Fi Thriller,Gary Oldman,Abbie Cornish,Jennifer Ehle,RoboCop
Lana Wachowski,Action Family Sport,Scott Porter,Kick Gurry,Nicholas Elia,Speed Racer
James L. Brooks,Comedy Drama Romance,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,How Do You Know
James Mangold,Action Comedy Romance,Tom Cruise,Marc Blucas,Jordi Mollà,Knight and Day
Joseph Kosinski,Action Adventure Mystery Sci-Fi,Morgan Freeman,Tom Cruise,Zoë Bell,Oblivion
